time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:25,79,active,32,0,0,1,0
2020-09-23 16:44:25,82,active,24,0,1,2,0
2020-09-23 16:44:25,83,active,45,0,2,15,0
2020-09-23 16:44:25,116,active,24,0,3,23,0
2020-09-23 16:44:25,119,active,12,2,2,39,0
2020-09-23 16:44:25,120,active,2,0,0,17,0
2020-09-23 16:44:25,127,active,7,0,1,23,0
2020-09-23 16:44:25,128,active,26,1,0,4,0
2020-09-23 16:44:25,143,active,22,1,0,2,0
2020-09-23 16:44:25,144,active,36,0,0,22,0
2020-09-23 16:44:25,146,active,0,0,0,0,0
2020-09-23 16:44:25,150,active,32,0,2,21,0
2020-09-23 16:44:25,151,active,30,0,1,2,0
2020-09-23 16:44:25,157,active,14,0,2,7,0
2020-09-23 16:44:25,161,active,32,1,3,0,0
2020-09-23 16:44:25,164,active,43,3,4,0,0
2020-09-23 16:44:25,173,active,67,5,2,1,0
2020-09-23 16:44:25,174,active,27,0,1,7,0
2020-09-23 16:44:25,212,active,50,2,0,10,0
2020-09-23 16:44:25,216,active,2,1,3,18,0
2020-09-23 16:44:25,217,active,37,3,0,2,0
2020-09-23 16:44:25,223,active,25,2,0,7,1
2020-09-23 16:44:25,224,active,29,4,1,0,0
2020-09-23 16:44:25,228,active,53,2,0,2,0
2020-09-23 16:44:25,229,active,22,5,1,0,0
2020-09-23 16:44:25,236,active,21,0,2,24,0
2020-09-23 16:44:25,237,active,8,0,0,31,0
2020-09-23 16:44:25,238,active,3,0,0,28,0
2020-09-23 16:44:25,239,active,9,0,1,21,0
2020-09-23 16:44:25,241,active,1,0,1,21,0
2020-09-23 16:44:25,242,active,42,0,0,4,0
2020-09-23 16:44:25,244,active,1,0,0,30,0
2020-09-23 16:44:25,245,active,0,0,1,22,0
2020-09-23 16:44:25,247,active,20,0,2,33,0
2020-09-23 16:44:25,248,active,86,0,2,11,0
2020-09-23 16:44:25,249,active,19,1,1,7,0
2020-09-23 16:44:25,250,active,33,0,2,5,0
2020-09-23 16:44:25,251,active,20,0,0,7,0
2020-09-23 16:44:25,252,active,12,2,0,21,0
2020-09-23 16:44:25,254,active,26,2,0,21,0
2020-09-23 16:44:25,257,active,35,0,1,3,0
2020-09-23 16:44:25,258,active,0,0,0,23,0
2020-09-23 16:44:25,259,active,36,2,0,3,0
2020-09-23 16:44:25,260,active,32,0,1,0,0
2020-09-23 16:44:25,261,active,12,0,0,15,0
2020-09-23 16:44:25,262,active,4,1,0,20,0
2020-09-23 16:44:25,264,active,22,0,2,3,0
2020-09-23 16:44:25,265,active,10,0,2,23,0
2020-09-23 16:44:25,267,active,10,2,2,58,0
2020-09-23 16:44:25,268,active,27,1,0,0,0
2020-09-23 16:44:25,270,active,5,0,0,18,0
2020-09-23 16:44:25,274,active,17,0,1,13,0
2020-09-23 16:44:25,275,active,1,0,1,17,0
2020-09-23 16:44:25,276,active,14,0,3,8,0
2020-09-23 16:44:25,278,active,17,0,0,2,0
2020-09-23 16:44:25,280,active,40,3,1,18,0
2020-09-23 16:44:25,282,active,12,0,3,12,0
2020-09-23 16:44:25,284,active,40,1,2,1,0
2020-09-23 16:44:25,285,active,51,0,1,1,0
2020-09-23 16:44:25,289,active,4,0,1,14,0
2020-09-23 16:44:25,291,active,3,1,0,17,0
2020-09-23 16:44:25,293,active,30,1,2,23,0
2020-09-23 16:44:25,295,active,11,0,0,13,0
2020-09-23 16:44:25,297,active,46,3,0,31,0
2020-09-23 16:44:25,298,active,23,0,0,12,0
2020-09-23 16:44:25,301,active,15,0,1,42,0
2020-09-23 16:44:25,302,active,2,0,1,20,0
2020-09-23 16:44:25,303,active,53,3,1,13,0
2020-09-23 16:44:25,304,active,21,2,2,10,0
2020-09-23 16:44:25,305,active,29,1,1,3,0
2020-09-23 16:44:25,307,active,27,0,1,2,0
2020-09-23 16:44:25,308,active,23,0,0,4,0
2020-09-23 16:44:25,309,active,41,0,0,0,0
2020-09-23 16:44:25,310,active,58,0,3,5,0
2020-09-23 16:44:25,311,active,21,0,3,7,0
2020-09-23 16:44:25,312,active,5,0,4,22,0
2020-09-23 16:44:25,313,active,23,0,3,29,0
2020-09-23 16:44:25,315,active,25,1,4,0,0
2020-09-23 16:44:25,316,active,41,4,0,2,0
2020-09-23 16:44:25,317,active,7,1,1,46,0
2020-09-23 16:44:25,319,active,26,0,2,5,0
2020-09-23 16:44:25,320,active,39,4,0,0,0
2020-09-23 16:44:25,321,active,23,2,0,16,0
2020-09-23 16:44:25,323,active,14,0,1,24,0
2020-09-23 16:44:25,324,active,29,0,0,22,0
2020-09-23 16:44:25,325,active,11,0,2,22,0
2020-09-23 16:44:25,326,active,15,3,0,26,0
2020-09-23 16:44:25,327,active,30,0,1,8,0
2020-09-23 16:44:25,328,active,19,0,0,4,0
2020-09-23 16:44:25,330,active,32,0,1,6,0
2020-09-23 16:44:25,331,active,3,0,2,22,0
