station_id,name,capacity
72,W 52 St & 11 Ave,0
79,Franklin St & W Broadway,33
82,St James Pl & Pearl St,27
83,Atlantic Ave & Fort Greene Pl,62
116,W 17 St & 8 Ave,50
119,Park Ave & St Edwards St,53
120,Lexington Ave & Classon Ave,19
127,Barrow St & Hudson St,31
128,MacDougal St & Prince St,30
143,Clinton St & Joralemon St,24
144,Nassau St & Navy St,58
146,Hudson St & Reade St,39
150,E 2 St & Avenue C,55
151,Cleveland Pl & Spring St,33
157,Henry St & Atlantic Ave,23
161,LaGuardia Pl & W 3 St,35
164,E 47 St & 2 Ave,47
168,W 18 St & 6 Ave,0
173,Broadway & W 49 St,70
174,E 25 St & 1 Ave,35
212,W 16 St & The High Line,60
216,Columbia Heights & Cranberry St,23
217,Old Fulton St,39
223,W 13 St & 7 Ave,33
224,Spruce St & Nassau St,30
228,E 48 St & 3 Ave,55
229,Great Jones St,23
236,St Marks Pl & 2 Ave,47
237,E 11 St & 2 Ave,39
238,Bank St & Washington St,31
239,Willoughby St & Fleet St,31
241,DeKalb Ave & S Portland Ave,23
242,Carlton Ave & Flushing Ave,46
244,Willoughby Ave & Hall St,31
245,Myrtle Ave & St Edwards St,23
247,Perry St & Bleecker St,55
248,Laight St & Hudson St,99
249,Harrison St & Hudson St,27
250,Lafayette St & Jersey St,40
251,Mott St & Prince St,27
252,MacDougal St & Washington Sq,33
254,W 11 St & 6 Ave,47
257,Lispenard St & Broadway,39
258,DeKalb Ave & Vanderbilt Ave,23
259,South St & Whitehall St,39
260,Broad St & Bridge St,33
261,Johnson St & Gold St,27
262,Washington Park,24
264,Maiden Ln & Pearl St,27
265,Stanton St & Chrystie St,35
267,Broadway & W 36 St,70
268,Howard St & Centre St,27
270,Adelphi St & Myrtle Ave,23
274,Lafayette Ave & Fort Greene Pl,31
275,Washington Ave & Greene Ave,19
276,Duane St & Greenwich St,25
278,Concord St & Bridge St,19
280,E 10 St & 5 Ave,59
281,Grand Army Plaza & Central Park S,0
282,Kent Ave & S 11 St,27
284,Greenwich Ave & 8 Ave,43
285,Broadway & E 14 St,53
289,Monroe St & Classon Ave,19
291,Madison St & Montgomery St,20
293,Lafayette St & E 8 St,55
295,Pike St & E Broadway,24
297,E 15 St & 3 Ave,77
298,3 Ave & Schermerhorn St,35
301,E 2 St & Avenue B,58
302,Avenue D & E 3 St,23
303,Mercer St & Spring St,67
304,Broadway & Battery Pl,33
305,E 58 St & 3 Ave,33
307,Canal St & Rutgers St,30
308,St James Pl & Oliver St,27
309,Murray St & West St,41
310,State St & Smith St,66
311,Norfolk St & Broome St,31
312,Allen St & Stanton St,31
313,Washington Ave & Park Ave,55
315,South St & Gouverneur Ln,29
316,Fulton St & William St,43
317,E 6 St & Avenue B,54
319,Fulton St & Broadway,33
320,Leonard St & Church St,39
321,Cadman Plaza E & Red Cross Pl,39
323,Lawrence St & Willoughby St,39
324,DeKalb Ave & Hudson Ave,51
325,E 19 St & 3 Ave,35
326,E 11 St & 1 Ave,41
327,Vesey Pl & River Terrace,39
328,Watts St & Greenwich St,23
330,Reade St & Broadway,39
331,Pike St & Monroe St,27
332,Cherry St,36
334,W 20 St & 7 Ave,31
335,Washington Pl & Broadway,27
336,Sullivan St & Washington Sq,36
340,Madison St & Clinton St,27
341,Stanton St & Mangin St,19
342,Columbia St & Rivington St,29
343,Clinton Ave & Flushing Ave,23
344,Monroe St & Bedford Ave,23
346,Bank St & Hudson St,27
347,Greenwich St & W Houston St,35
349,Rivington St & Ridge St,61
350,Clinton St & Grand St,28
351,Front St & Maiden Ln,39
353,S Portland Ave & Hanson Pl,27
354,Emerson Pl & Myrtle Ave,47
355,Bayard St & Baxter St,43
356,Bialystoker Pl & Delancey St,23
358,Christopher St & Greenwich St,50
359,E 47 St & Park Ave,78
360,William St & Pine St,39
361,Allen St & Hester St,43
362,Broadway & W 37 St,57
363,West Thames St,49
364,Lafayette Ave & Classon Ave,27
366,Clinton Ave & Myrtle Ave,33
367,E 53 St & Lexington Ave,43
368,Carmine St & 6 Ave,39
369,Washington Pl & 6 Ave,60
372,Franklin Ave & Myrtle Ave,27
373,Willoughby Ave & Walworth St,19
376,John St & William St,43
377,6 Ave & Canal St,48
379,W 31 St & 7 Ave,42
380,W 4 St & 7 Ave S,5
383,Greenwich Ave & Charles St,39
385,E 55 St & 2 Ave,29
386,Centre St & Worth St,82
387,Centre St & Chambers St,39
388,W 26 St & 10 Ave,35
389,Broadway & Berry St,27
390,Duffield St & Willoughby St,31
391,Clark St & Henry St,31
392,Jay St & Tech Pl,35
393,E 5 St & Avenue C,37
394,E 9 St & Avenue C,34
396,Lefferts Pl & Franklin Ave,25
397,Fulton St & Clermont Ave,75
398,Atlantic Ave & Furman St,31
399,Lafayette Ave & St James Pl,39
